coin,view,fold,feature,importance
ETH,V2,1,RET_5D,6.362724091287125
ETH,V2,1,RET_20D,3.7964059179338956
ETH,V2,1,TECH_RSI14,4.5095743267287425
ETH,V2,1,TECH_RSI30,2.77693079571084
ETH,V2,1,TECH_MACD,2.1707701674696436
ETH,V2,1,TECH_MACD_SIG,3.00870682617364
ETH,V2,1,TECH_MA5R,3.5476265982373443
ETH,V2,1,TECH_MA20R,1.942132590283432
ETH,V2,1,TECH_MA50R,2.4334908817242
ETH,V2,1,VOL_ATR14,2.7579683251084846
ETH,V2,1,BAND_BB_W,3.928454549907332
ETH,V2,1,BAND_KC_W,2.842624923642438
ETH,V2,1,PX_OBV,3.1115150748556237
ETH,V2,1,VOL_Z20,7.670470086498402
ETH,V2,1,DERIV_OI_D1,3.2128503138538704
ETH,V2,1,DERIV_OI_PCT1,5.164745155627286
ETH,V2,1,DERIV_FUND_Z7,6.244696797635709
ETH,V2,1,DERIV_LSR_D1,0.0
ETH,V2,1,FLOW_LIQ_NET,1.1357441175726972
ETH,V2,1,FLOW_LIQ_ABS,1.6676695432965087
ETH,V2,1,FLOW_TAKER_IMB,0.0
ETH,V2,1,EXBAL_PCT_1D,0.0
ETH,V2,1,SENT_FEAR,2.590816121346763
ETH,V2,1,SENT_D_FEAR,4.246953835148794
ETH,V2,1,WEEK_RET_1W,4.559680198271591
ETH,V2,1,WEEK_RSI_1W,3.0758161037856784
ETH,V2,1,WEEK_MA_CROSS_1W,0.4113876580920282
ETH,V2,2,open,1.5576946779206373
ETH,V2,2,high,1.4276244098086777
ETH,V2,2,low,1.5973461002510412
ETH,V2,2,close,1.9515276329851956
ETH,V2,2,volume,3.319543359646841
ETH,V2,2,RET_1D,6.64117912418228
ETH,V2,2,RET_5D,4.915906377999682
ETH,V2,2,RET_20D,2.0509889117636284
ETH,V2,2,TECH_RSI14,4.036593059857654
ETH,V2,2,TECH_RSI30,4.276112161358736
ETH,V2,2,TECH_MACD,2.4461980880947864
ETH,V2,2,TECH_MACD_SIG,2.074534563054426
ETH,V2,2,TECH_MA5R,4.382576102533832
ETH,V2,2,TECH_MA20R,2.466862117939929
ETH,V2,2,TECH_MA50R,2.1426019211483553
ETH,V2,2,VOL_ATR14,3.2513915657845693
ETH,V2,2,BAND_BB_W,3.0724831414375067
ETH,V2,2,BAND_KC_W,3.7545291034159565
ETH,V2,2,PX_OBV,2.3856913188024893
ETH,V2,2,VOL_Z20,5.972828042360876
ETH,V2,2,DERIV_OI_D1,4.016455068437745
ETH,V2,2,DERIV_OI_PCT1,5.005906869609804
ETH,V2,2,DERIV_FUND_Z7,5.57376984256915
ETH,V2,2,DERIV_LSR_D1,0.0
ETH,V2,2,FLOW_LIQ_NET,2.4891117629800252
ETH,V2,2,FLOW_LIQ_ABS,3.0887348439645583
ETH,V2,2,FLOW_TAKER_IMB,0.0
ETH,V2,2,EXBAL_PCT_1D,0.0
ETH,V2,2,SENT_FEAR,2.502009451028865
ETH,V2,2,SENT_D_FEAR,5.210568791526177
ETH,V2,2,WEEK_RET_1W,4.579352348125811
ETH,V2,2,WEEK_RSI_1W,3.3450570202776926
ETH,V2,2,WEEK_MA_CROSS_1W,0.4648222211330796
ETH,V2,3,open,2.1009960132619176
ETH,V2,3,high,1.7247828951383086
ETH,V2,3,low,1.2338769178381994
ETH,V2,3,close,1.4633914226395466
ETH,V2,3,volume,3.44421096858541
ETH,V2,3,RET_1D,6.047012707958806
ETH,V2,3,RET_5D,4.716570974491504
ETH,V2,3,RET_20D,2.0908795543743746
ETH,V2,3,TECH_RSI14,4.050310986451295
ETH,V2,3,TECH_RSI30,3.6478766827697306
ETH,V2,3,TECH_MACD,1.9411261219494078
ETH,V2,3,TECH_MACD_SIG,2.5904546417532752
ETH,V2,3,TECH_MA5R,3.9958795318107407
ETH,V2,3,TECH_MA20R,3.0840548345985996
ETH,V2,3,TECH_MA50R,2.2792797298253324
ETH,V2,3,VOL_ATR14,2.197611349633204
ETH,V2,3,BAND_BB_W,3.039868418732686
ETH,V2,3,BAND_KC_W,3.287090167777162
ETH,V2,3,PX_OBV,2.2729104908220177
ETH,V2,3,VOL_Z20,5.3910042918664205
ETH,V2,3,DERIV_OI_D1,3.6129882763759857
ETH,V2,3,DERIV_OI_PCT1,4.729458864441511
ETH,V2,3,DERIV_FUND_Z7,6.106357178056874
ETH,V2,3,DERIV_LSR_D1,0.0
ETH,V2,3,FLOW_LIQ_NET,3.5749716692065707
ETH,V2,3,FLOW_LIQ_ABS,4.00707702024076
ETH,V2,3,FLOW_TAKER_IMB,0.0
ETH,V2,3,EXBAL_PCT_1D,1.0811938190095691
ETH,V2,3,SENT_FEAR,3.243670064345608
ETH,V2,3,SENT_D_FEAR,4.457595908159972
ETH,V2,3,WEEK_RET_1W,4.057464690995368
ETH,V2,3,WEEK_RSI_1W,4.110726133954533
ETH,V2,3,WEEK_MA_CROSS_1W,0.4193076729353191
ETH,V3,1,open,1.5103144629630663
ETH,V3,1,high,1.5830310482930783
ETH,V3,1,low,1.5238690756331128
ETH,V3,1,close,1.7430982165277906
ETH,V3,1,volume,3.4123367349712126
ETH,V3,1,RET_1D,7.057595461419672
ETH,V3,1,RET_5D,6.362724091287125
ETH,V3,1,RET_20D,3.7964059179338956
ETH,V3,1,TECH_RSI14,4.5095743267287425
ETH,V3,1,TECH_RSI30,2.77693079571084
ETH,V3,1,TECH_MACD,2.1707701674696436
ETH,V3,1,TECH_MACD_SIG,3.00870682617364
ETH,V3,1,TECH_MA5R,3.5476265982373443
ETH,V3,1,TECH_MA20R,1.942132590283432
ETH,V3,1,TECH_MA50R,2.4334908817242
ETH,V3,1,VOL_ATR14,2.7579683251084846
ETH,V3,1,BAND_BB_W,3.928454549907332
ETH,V3,1,BAND_KC_W,2.842624923642438
ETH,V3,1,PX_OBV,3.1115150748556237
ETH,V3,1,VOL_Z20,7.670470086498402
ETH,V3,1,DERIV_OI_D1,3.2128503138538704
ETH,V3,1,DERIV_OI_PCT1,5.164745155627286
ETH,V3,1,DERIV_FUND_Z7,6.244696797635709
ETH,V3,1,DERIV_LSR_D1,0.0
ETH,V3,1,FLOW_LIQ_NET,1.1357441175726972
ETH,V3,1,FLOW_LIQ_ABS,1.6676695432965087
ETH,V3,1,FLOW_TAKER_IMB,0.0
ETH,V3,1,EXBAL_PCT_1D,0.0
ETH,V3,1,SENT_FEAR,2.590816121346763
ETH,V3,1,SENT_D_FEAR,4.246953835148794
ETH,V3,1,WEEK_RET_1W,4.559680198271591
ETH,V3,1,WEEK_RSI_1W,3.0758161037856784
ETH,V3,1,WEEK_MA_CROSS_1W,0.4113876580920282
ETH,V3,2,open,1.5576946779206373
ETH,V3,2,high,1.4276244098086777
ETH,V3,2,low,1.5973461002510412
ETH,V3,2,close,1.9515276329851956
ETH,V3,2,volume,3.319543359646841
ETH,V3,2,RET_1D,6.64117912418228
ETH,V3,2,RET_5D,4.915906377999682
ETH,V3,2,RET_20D,2.0509889117636284
ETH,V3,2,TECH_RSI14,4.036593059857654
ETH,V3,2,TECH_RSI30,4.276112161358736
ETH,V3,2,TECH_MACD,2.4461980880947864
ETH,V3,2,TECH_MACD_SIG,2.074534563054426
ETH,V3,2,TECH_MA5R,4.382576102533832
ETH,V3,2,TECH_MA20R,2.466862117939929
ETH,V3,2,TECH_MA50R,2.1426019211483553
ETH,V3,2,VOL_ATR14,3.2513915657845693
ETH,V3,2,BAND_BB_W,3.0724831414375067
ETH,V3,2,BAND_KC_W,3.7545291034159565
ETH,V3,2,PX_OBV,2.3856913188024893
ETH,V3,2,VOL_Z20,5.972828042360876
ETH,V3,2,DERIV_OI_D1,4.016455068437745
ETH,V3,2,DERIV_OI_PCT1,5.005906869609804
ETH,V3,2,DERIV_FUND_Z7,5.57376984256915
ETH,V3,2,DERIV_LSR_D1,0.0
ETH,V3,2,FLOW_LIQ_NET,2.4891117629800252
ETH,V3,2,FLOW_LIQ_ABS,3.0887348439645583
ETH,V3,2,FLOW_TAKER_IMB,0.0
ETH,V3,2,EXBAL_PCT_1D,0.0
ETH,V3,2,SENT_FEAR,2.502009451028865
ETH,V3,2,SENT_D_FEAR,5.210568791526177
ETH,V3,2,WEEK_RET_1W,4.579352348125811
